ID;SEX;CHILD_BOOL;REALTY_BOOL;HAVE_ACCOUNT_BOOL;EMAIL_BOOL;DCI;PROFIT_FAMILY;UCI;FOREIGN_PASSPORT_BOOL;SIML;EDUCATION;TRANSPORT_AMOUNT;target;sample
91;1;1;1;0;0;17822,5801;23322,5801;5500;0;64;6;0;1;Train
92;1;1;1;0;0;25051,4902;34000;0;0;26;5;0;1;Train
93;1;0;0;0;0;17798,6699;30000;0;0;31;5;1;1;Train
95;1;0;1;0;0;22330;22330;0;0;27;5;1;1;Train
96;1;0;1;0;0;59150;59150;0;0;17;5;0;1;Train
97;0;1;0;0;0;8252,9199;10252,9199;2000;0;50;5;0;1;Train
100;0;1;0;0;0;24260,3691;30000;0;0;18;6;1;1;Train
101;0;1;0;0;0;9784,7598;15000;0;0;44;6;0;1;Train
102;1;0;0;0;0;990;15990;15000;0;0;5;1;1;Train
103;1;1;1;1;0;0;24000;0;0;0;6;0;1;Train
104;0;0;1;0;0;7014,6499;65000;7985,3501;0;36;5;0;1;Train
105;1;1;1;0;0;42393,4609;85000;15000;0;48;5;1;1;Train
106;1;0;1;0;0;24193,4297;24193,4297;0;0;6;5;0;1;Train
107;0;1;0;1;0;0;18000;0;0;0;6;0;1;Train
108;0;1;0;0;0;9759,0098;23000;0;0;12;5;0;1;Train
109;1;0;1;0;0;6357,0801;6357,0801;0;1;60;6;0;1;Train
110;0;1;1;0;0;12829,46;12829,46;0;0;35;3;0;1;Train
112;1;1;0;0;0;14737,6299;42000;10000;0;120;3;0;1;Train
114;0;0;1;0;0;2617,3899;25000;0;0;4;5;0;1;Train
115;0;0;0;0;0;12444,6699;21444,6699;9000;0;58;3;0;1;Train
117;0;0;0;0;0;3178,54;11178,54;8000;0;24;6;0;1;Train
118;1;0;0;1;0;0;19000;10000;0;0;5;0;1;Train
122;0;1;1;0;1;4350;14350;10000;0;23;5;0;1;Train
123;0;1;1;0;1;12499;35499;15000;0;28;3;0;1;Train
124;1;0;0;0;0;15267,9004;55267,8984;30000;0;33;6;1;1;Train
126;0;1;1;0;0;6090;70000;15000;0;9;5;0;1;Train
127;1;0;0;0;0;7685,1201;7685,1201;0;0;14;5;0;1;Train
128;0;1;0;0;0;4595,2002;8595,2002;0;0;53;5;0;1;Train
129;0;1;1;0;0;15357,04;45000;10000;0;101;3;0;1;Train
130;1;1;1;0;0;11030,0801;24030,0801;5000;0;43;5;0;1;Train
131;1;0;0;0;0;8573,2695;16573,2695;3000;0;63;5;1;1;Train
132;0;0;0;0;0;16591,6992;16591,6992;0;0;34;5;0;1;Train
133;1;1;1;0;0;19534,9102;40000;0;0;95;6;0;1;Train
134;0;1;0;0;0;7115,1499;15000;0;0;53;5;0;1;Train
135;1;0;1;0;0;11393,5596;11393,5596;0;0;12;5;0;1;Train
136;0;1;0;0;0;5475,75;70000;20000;0;6;2;0;1;Train
137;0;0;0;1;0;0;19000;8000;0;24;4;0;1;Train
139;1;1;1;0;0;6654,9302;40000;4343,2598;0;72;3;0;1;Train
140;0;0;1;0;1;29829,75;30000;0;0;90;3;0;1;Train
141;1;1;0;0;0;13340;25000;0;0;9;5;0;1;Train
142;1;1;1;0;0;8521,4004;16021,4004;0;0;60;5;0;1;Train
143;1;0;0;0;0;5944;40000;0;0;89;3;0;1;Train
144;1;0;0;0;0;20528,6602;30528,6602;10000;0;36;6;0;1;Train
146;0;0;1;0;0;5109;10109;5000;0;9;6;0;1;Train
148;1;1;0;0;0;21191,2402;21191,2402;0;0;36;4;0;1;Train
150;0;1;0;0;0;9729,54;24000;3000;0;18;5;0;1;Train
151;1;1;1;0;0;7715,8301;20000;0;0;31;3;0;1;Train
153;0;0;0;0;1;35248,6602;80000;0;0;37;5;0;1;Train
155;1;1;1;0;0;23132,1699;30132,1797;7000;0;91;4;1;1;Train
159;1;0;0;0;0;18141,3203;18141,3203;0;0;78;5;0;1;Train
162;1;1;0;0;0;22880,7695;30000;0;0;44;6;0;1;Train
163;0;0;0;0;0;13050;31050;0;0;12;5;1;1;Train
166;1;0;0;0;0;15654,0195;15654,0195;0;0;26;5;0;1;Train
167;0;1;0;0;0;4886,5698;20000;4000;0;6;5;0;1;Train
168;1;0;0;0;1;36238,3906;36238,3906;0;0;90;5;0;1;Train
170;1;1;0;0;0;10957,3604;35000;10000;0;210;5;0;1;Train
173;1;1;1;0;0;9954,25;27954,25;10000;0;15;5;0;1;Train
175;1;0;1;0;0;8151,8999;19151,9004;11000;0;42;6;0;1;Train
176;1;1;0;0;0;41180;78000;0;0;55;2;0;1;Train
179;0;1;1;0;0;2711,5901;22711,5898;20000;0;11;5;0;1;Train
181;0;1;1;0;0;41555,2617;70000;0;1;64;3;1;1;Train
182;1;1;0;1;0;0;8000;0;0;14;6;0;1;Train
183;1;0;0;0;0;17824,4004;27824,4004;0;0;17;5;0;1;Train
184;1;0;1;0;0;26100;26100;0;0;28;5;0;1;Train
185;1;1;0;0;1;13688;29000;0;0;7;1;0;1;Train
186;1;0;1;0;0;10927,2197;23885,75;0;0;24;4;1;1;Train
188;1;1;0;0;0;14141;34141;10000;0;48;6;2;1;Train
191;1;0;0;0;0;36540;42000;0;0;38;5;0;1;Train
195;1;1;0;0;0;5075;20075;10000;0;20;5;0;1;Train
196;0;1;1;1;0;0;30000;0;1;0;5;0;1;Train
197;0;1;0;0;0;11547,6699;31547,6699;0;0;72;5;0;1;Train
198;0;0;1;0;1;15741,1699;63000;10000;0;104;4;0;1;Train
201;0;0;1;0;0;34811,1406;34811,1406;0;0;19;5;0;1;Train
202;1;0;0;0;0;10073;10073;0;0;60;6;0;1;Train
204;1;1;1;0;0;10902,7305;25000;2600;0;16;5;0;1;Train
206;1;0;0;0;1;77675,1016;77675,1016;0;1;152;3;0;1;Train
207;0;0;1;0;0;7422,5;27422,5;20000;0;60;5;0;1;Train
208;1;1;0;0;0;26726,6309;26728,6309;0;0;26;6;0;1;Train
209;0;1;0;0;1;16157,3896;16157,3896;0;0;37;3;0;1;Train
210;0;1;1;1;1;0;10000;0;0;60;3;0;1;Train
211;1;1;0;0;0;17875,8809;30000;0;0;58;3;1;1;Train
214;1;0;0;0;0;98589;150000;0;0;61;3;0;1;Train
215;1;0;1;0;0;13398,8496;13398,8496;0;0;322;5;0;1;Train
216;0;1;1;1;0;0;20000;3000;0;0;5;0;1;Train
217;1;1;1;0;0;18326,5996;35000;10000;0;97;5;0;1;Train
219;0;1;1;0;0;22726;22726;0;1;228;3;0;1;Train
220;0;0;0;0;1;34800;34800;0;0;19;6;0;1;Train
221;1;1;1;0;0;5349,6299;5649,6299;300;0;96;5;0;1;Train
224;1;1;0;0;0;18077,6797;28077,6797;0;0;52;5;0;1;Train
225;0;1;1;1;0;0;32000;21000;0;0;6;0;1;Train
226;1;1;0;1;0;0;10500;0;0;0;5;1;1;Train
228;0;0;0;0;0;14088;24088;10000;0;17;5;0;1;Train
230;1;1;1;0;0;15660;40000;0;0;40;6;0;1;Train
231;1;1;1;0;0;9808,4404;12808,4404;3000;0;60;3;0;1;Train
232;0;0;1;0;0;32625;32625;0;1;74;3;1;1;Train
234;0;1;1;0;0;15087,8701;60000;0;0;36;5;0;1;Train
235;1;0;0;1;0;0;21000;0;0;13;5;0;1;Train
236;0;0;1;0;0;19809,9707;32809,9688;2000;0;334;3;0;1;Train
237;0;1;0;0;0;17400;60000;5000;0;43;5;0;1;Train
238;0;0;0;0;0;15222,8301;19000;4000;0;31;6;0;1;Train
239;0;1;1;0;0;16384,0098;45000;0;0;20;5;0;1;Train
240;1;0;1;0;1;64304,3203;64304,3203;0;0;32;3;1;1;Train
241;0;1;1;0;0;13325,2002;23325,1992;0;0;192;5;0;1;Train
242;0;1;0;0;0;8835,3203;30000;0;0;23;4;0;1;Train
243;1;1;1;0;0;48336;58336;0;0;35;3;1;1;Train
244;1;1;1;0;1;21455,2695;50000;20000;0;59;3;0;1;Train
245;0;0;0;0;0;23652;23652;0;0;21;5;0;1;Train
246;0;1;1;0;0;5995,4102;25995,4102;3000;0;13;4;0;1;Train
247;0;1;0;0;0;9429,1396;9429,1396;0;0;83;5;0;1;Train
248;0;0;0;0;0;6090;6090;0;0;26;3;0;1;Train
249;0;1;0;1;0;12217,5596;12217,5596;0;0;84;6;0;1;Train
250;0;1;1;0;0;9716,3701;14516,3701;4800;0;13;3;0;1;Train
251;0;1;1;0;0;21610,4102;21610,4102;0;0;183;5;0;1;Train
252;0;1;0;0;0;16098,9502;46098,9492;15000;0;80;3;0;1;Train
253;1;0;0;0;0;34782,0703;34782,0703;0;0;28;6;1;1;Train
254;1;1;0;0;0;26864,4609;26864,4609;0;0;58;3;1;1;Train
257;1;1;0;0;0;23490;23490;0;0;79;5;0;1;Train
260;1;0;0;0;1;33813,5508;48813,5508;0;1;67;3;1;1;Train
261;0;0;1;0;0;13769,4902;21169,4902;0;0;13;5;0;1;Train
262;0;1;1;0;0;8775,0596;25000;0;0;18;6;0;1;Train
263;1;1;1;0;0;13204,4404;38000;20000;0;15;5;0;1;Train
264;1;0;0;0;0;9162,46;16162,46;7000;1;32;4;0;1;Train
265;1;1;0;0;1;10875;30000;6000;1;29;5;1;1;Train
266;0;1;0;0;0;8159,04;22000;0;0;45;5;0;1;Train
268;0;1;0;0;0;14659,2402;14659,2402;0;0;33;3;0;1;Train
269;1;0;1;0;0;61858,2109;61858,2109;0;0;163;3;0;1;Train
272;0;0;0;1;1;0;75000;35000;0;0;3;0;1;Train
273;0;1;1;0;0;8366,2695;20000;0;0;44;4;0;1;Train
274;0;1;0;0;0;28914,2305;28914,2305;0;0;75;3;0;1;Train
275;1;1;1;0;0;22578,7207;37000;0;0;40;3;0;1;Train
277;1;1;1;0;0;10348,5498;10348,5498;0;0;109;6;0;1;Train
278;0;1;0;0;0;10504,6904;30504,6895;0;0;26;6;0;1;Train
281;0;1;1;0;0;6797,6299;20000;0;0;33;4;0;1;Train
282;1;1;0;0;0;20206,9004;31206,9004;5000;0;59;5;1;1;Train
283;1;0;0;0;1;63753,2188;76753,2188;13000;1;61;3;0;1;Train
284;1;0;1;0;0;114265,7969;114265,7969;0;0;16;3;0;1;Train
286;0;1;1;0;0;32625;107000;10000;0;53;3;0;1;Train
287;1;0;0;0;0;10153,9902;40000;10000;0;168;3;0;1;Train
289;0;0;0;0;0;13050;20000;5000;0;35;3;1;1;Train
290;0;1;0;0;0;8771;20000;11600;1;25;5;0;1;Train
292;1;1;1;0;0;22040;22040;0;0;17;5;0;1;Train
294;1;0;1;0;0;6570,3999;25000;0;0;60;6;0;1;Train
295;0;1;1;0;1;30798,8398;30798,8398;0;1;216;3;0;1;Train
296;1;1;0;0;0;20227,3809;25227,3809;0;0;19;5;0;1;Train
297;0;1;1;0;1;31380,5801;62000;0;0;92;3;0;1;Train
300;0;0;1;0;1;33479,5781;33479,5781;12528;1;32;3;0;1;Train
301;1;0;0;0;1;23176,7695;43176,7695;20000;0;12;3;0;1;Train
303;0;1;1;0;0;5092,1802;29657,1797;0;0;46;5;0;1;Train
304;1;1;1;0;0;16375,5703;25000;0;0;68;3;0;1;Train
305;1;1;1;0;0;31062;65000;0;0;396;5;1;1;Train
306;1;0;0;0;1;20497,8105;28797,8105;8000;0;16;5;0;1;Train
307;1;0;0;0;0;16147,2002;29000;10000;0;26;6;0;1;Train
309;1;1;0;0;0;5627,9199;30000;0;0;35;6;0;1;Train
311;0;1;0;0;0;9365,8799;24365,8809;0;0;12;6;0;1;Train
313;0;1;1;0;0;9312,5195;35000;0;0;118;5;0;1;Train
314;0;1;1;0;0;4950,96;17950,9609;5000;0;26;6;0;1;Train
316;1;1;0;0;1;48457,4688;48457,4688;0;1;36;3;1;1;Train
317;0;0;1;0;0;6445;16445;10000;0;40;5;0;1;Train
320;1;1;1;0;0;14032,9805;14032,9805;0;0;60;3;0;1;Train
321;1;1;0;0;0;6307;10000;0;0;36;5;0;1;Train
322;0;1;0;0;0;12981,9697;54000;0;0;60;6;0;1;Train
323;0;1;0;0;0;10277,1396;10277,1396;0;0;7;6;0;1;Train
324;0;1;1;0;0;15433;27433;0;0;35;3;0;1;Train
325;1;1;1;0;0;5290,02;13000;7709,98;0;36;3;1;1;Train
326;0;0;0;0;1;18213,4102;50000;0;0;32;4;0;1;Train
327;1;0;1;0;0;12504,04;12504,04;0;0;61;3;0;1;Train
328;1;0;0;0;1;13040,6201;13040,6201;0;0;23;6;1;1;Train
330;1;0;1;0;0;16113,1699;16113,1699;0;1;156;3;0;1;Train
333;1;0;1;0;0;5761,7998;15761;0;0;8;4;0;1;Train
334;1;0;0;0;0;16441,6504;16441,6504;0;0;27;5;0;1;Train
335;1;0;1;0;1;170375;160000;0;1;102;2;2;1;Train
337;1;1;1;0;0;8124,23;20000;0;0;81;5;0;1;Train
338;1;0;1;0;0;9980,0498;35000;10000;0;54;3;0;1;Train
339;1;1;0;0;0;8252,7998;8252,7998;0;0;60;5;0;1;Train
340;1;1;1;0;1;123265,6562;180000;0;0;114;1;1;1;Train
341;0;1;1;0;0;50805,6719;94464;0;1;52;4;0;1;Train
342;1;0;0;0;0;9227,7402;9227,7402;0;0;60;4;0;1;Train
343;0;0;0;0;0;7770,4902;7770,4902;0;0;34;4;0;1;Train
345;0;0;0;0;0;41760;41760;0;0;14;3;1;1;Train
346;0;0;1;0;0;13920;18920;5000;0;48;5;0;1;Train
348;1;1;0;0;0;15105,8301;20000;0;0;131;5;0;1;Train
349;0;1;0;0;0;5818,3799;25000;0;0;27;5;0;1;Train
350;1;0;1;0;1;13980;13980;0;0;0;4;0;1;Train
352;1;0;1;0;0;28744,7793;40000;0;0;26;6;0;1;Train
353;0;1;0;0;0;4977,8398;4977,8398;0;0;96;6;0;1;Train
354;0;1;1;0;0;16742,5391;36742,5391;0;0;198;4;1;1;Train
355;0;1;1;0;0;10498,5996;15398,5996;4900;0;111;6;0;1;Train
356;1;1;0;0;0;21750;35000;0;0;45;5;0;1;Train
358;0;1;1;0;0;10199,2402;28000;0;0;91;5;0;1;Train
359;1;0;1;1;0;0;15000;0;0;0;4;0;1;Train
361;1;0;0;0;0;8523,6104;10523,6104;2000;0;12;5;0;1;Train
362;0;1;0;0;0;5860;35000;0;1;59;5;0;1;Train
363;0;1;0;0;0;22533,6602;57000;0;0;111;5;0;1;Train
364;0;0;1;1;1;0;10000;0;0;0;4;0;1;Train
365;1;0;0;0;0;22259,25;22259,25;9571,3896;0;13;4;1;1;Train
366;1;0;0;0;1;15658,3604;16758,3594;1100;0;12;5;0;1;Train
367;0;0;1;0;0;18614,3594;35000;0;0;122;5;0;1;Train
368;0;1;0;0;0;16264,0898;17000;0;0;30;6;0;1;Train
370;1;1;0;0;0;16641;25000;0;0;54;3;0;1;Train
372;1;0;0;1;1;0;170000;0;0;0;6;0;1;Train
373;0;1;1;0;0;10126,3604;25000;0;0;78;5;0;1;Train
375;0;1;0;0;0;15500,5;39000;3480;0;19;5;0;1;Train
376;0;1;1;0;0;55410,3008;120000;0;0;21;4;0;1;Train
377;0;0;0;0;0;4334,3599;25000;0;0;19;6;0;1;Train
379;1;1;0;0;0;6293,3999;30000;10000;0;11;6;0;1;Train
380;0;1;1;0;0;9264,7695;19264,7695;10000;0;15;5;0;1;Train
381;1;0;0;0;1;9993,3398;17000;7006,6602;0;12;6;0;1;Train
382;1;0;0;0;0;11840,8096;11840,8096;0;0;14;5;0;1;Train
383;0;1;1;0;0;5481,8999;20481,9004;15000;0;38;5;0;1;Train
386;0;1;1;0;0;15660;54660;3000;0;67;3;0;1;Train
388;1;0;1;0;0;38217,0117;70000;0;0;9;3;0;1;Train
390;0;1;1;0;1;9752,1904;39752;0;0;19;5;0;1;Train
391;0;1;0;0;0;4920,2798;20000;0;0;7;6;0;1;Train
392;0;0;1;0;0;10749,9502;10749,9502;0;0;34;4;0;1;Train
393;1;1;1;0;0;23310,0605;59000;0;0;102;5;1;1;Train
394;1;1;1;0;0;9756,4199;20000;0;0;18;6;1;1;Train
395;1;0;1;0;0;16449,5098;16449,5098;0;0;29;6;0;1;Train
396;1;1;1;0;0;13953,3398;30000;0;0;19;4;0;1;Train
397;0;0;1;0;0;7056,9102;27000;0;0;10;5;0;1;Train
400;0;0;1;0;0;22620;22620;0;1;10;3;0;1;Train
402;1;0;1;0;0;104400;104400;0;0;29;5;2;1;Train
403;0;0;1;0;1;20414;20000;0;0;15;4;0;1;Train
404;0;1;0;0;0;47006,0391;80000;0;0;257;3;0;1;Train
405;0;0;0;1;1;0;40000;8000;0;0;4;0;1;Train
406;1;1;1;0;1;80040;140000;0;0;22;3;0;1;Train
407;1;0;1;0;1;18829,2891;20000;0;0;14;3;0;1;Train
408;1;1;1;0;0;17785,3809;37785,3789;0;0;96;5;0;1;Train
409;1;0;1;1;0;0;20000;0;0;14;6;0;1;Train
410;1;0;1;0;1;19843,8301;27900;8000;0;6;5;0;1;Train
411;1;0;0;0;0;26271,0996;26213,0996;0;0;18;5;0;1;Train
412;0;1;0;0;1;23235,4902;50000;0;0;61;3;0;1;Train
413;1;1;1;0;0;43500;75000;8700;0;28;3;1;1;Train
414;0;0;0;0;0;6552,52;8000;0;0;9;5;0;1;Train
416;0;1;0;0;1;5199,2798;30000;5000;0;11;5;0;1;Train
417;0;0;0;0;0;12013,6201;16013,6201;4000;0;8;5;0;1;Train
418;1;0;0;1;0;0;31769,0801;25000;0;0;4;0;1;Train
419;1;0;1;0;0;25552,4395;35000;0;0;28;3;1;1;Train
420;0;1;1;0;0;10611,8203;45000;0;0;25;5;0;1;Train
421;1;0;0;0;0;38394,8906;38394,8906;0;0;12;5;0;1;Train
422;0;0;0;0;0;21915,8105;21915,8105;0;0;16;3;0;1;Train
426;1;0;0;0;1;32054,8809;35000;0;0;14;4;0;1;Train
427;1;0;0;0;0;21139;21139;0;0;60;3;0;1;Train
429;1;0;0;0;1;34594,2188;34594,2188;0;1;59;3;1;1;Train
430;1;0;0;0;1;60781,8281;95000;0;0;13;3;0;1;Train
431;0;1;1;0;0;6963,4302;13000;5000;0;9;5;0;1;Train
432;0;0;0;0;1;18042,7891;20000;0;0;16;4;1;1;Train
435;0;1;0;0;0;13219,9004;35000;0;0;49;3;0;1;Train
436;1;0;0;0;0;18241,8301;18241,8301;0;0;62;5;1;1;Train
439;0;1;0;0;0;6902,3501;9902,3496;3000;0;14;5;0;1;Train
440;0;1;0;0;1;18663,1992;60000;0;0;29;3;1;1;Train
441;1;0;1;0;1;15596,8301;36000;20000;0;34;6;1;1;Train
442;0;1;0;0;0;19674;32674;0;0;74;5;0;1;Train
443;0;1;0;0;0;9340,21;30000;0;0;48;5;0;1;Train
444;0;0;0;0;0;17400;20000;0;0;12;5;0;1;Train
445;1;0;1;0;0;26100;26100;0;0;12;3;0;1;Train
447;0;0;0;0;0;20480,8008;20480,8008;0;0;24;4;0;1;Train
448;0;1;0;0;0;10820,6797;36320;13500;0;126;5;0;1;Train
449;0;0;1;0;0;5849,8901;20000;0;0;17;5;0;1;Train
450;1;1;0;0;0;34762,6016;62762,6016;0;0;84;5;1;1;Train
452;0;0;0;1;0;0;13000;0;0;0;6;0;1;Train
453;1;0;1;0;0;130500;130500;0;0;6;3;0;1;Train
454;1;0;1;0;0;20776,1699;20776,1699;0;0;15;5;0;1;Train
455;1;0;0;0;0;33495;33495;0;1;44;5;0;1;Train
456;0;1;0;0;0;20698,8301;20698,8301;0;1;110;4;0;1;Train
457;1;0;0;0;0;21438,5898;2143859;0;0;17;6;0;1;Train
458;0;0;1;0;0;26100;26100;0;1;10;3;0;1;Train
460;0;1;0;0;0;10349,3301;48349,3281;0;0;12;5;0;1;Train
461;0;1;0;0;0;19443,4199;38000;3000;0;36;4;0;1;Train
462;0;0;0;0;0;11501,3096;11501,3096;0;1;34;3;0;1;Train
465;0;1;0;0;1;57489,6016;150000;0;1;23;3;0;1;Train
466;0;1;1;0;1;19912,1797;34912,1797;5000;0;21;3;0;1;Train
467;1;0;0;0;1;16739,7793;16739;0;0;42;3;0;1;Train
468;1;1;0;0;0;11845,4004;32000;0;0;10;3;0;1;Train
470;1;1;0;0;0;22706;27706;5000;0;39;5;1;1;Train
474;1;1;0;0;0;17443,7305;50000;0;0;145;5;1;1;Train
476;0;1;0;0;0;8639,3896;18639,3906;0;0;28;7;0;1;Train
478;1;0;0;0;0;6786;6700;0;0;60;5;1;1;Train
479;1;1;1;0;1;104407,3984;115000;0;1;109;3;0;1;Train
481;1;0;0;0;1;79605;115000;20000;1;43;3;0;1;Train
483;1;0;1;0;0;14790;25000;0;0;7;5;3;1;Train
484;1;0;0;0;1;10481,4199;30481,4199;20000;0;15;3;0;1;Train
485;1;0;1;0;1;5900,9199;27300;23000;0;17;4;0;1;Train
487;1;1;0;0;1;31957,4102;48708,0391;0;0;22;6;0;1;Train
488;0;1;1;0;1;23780;85780;22000;0;13;3;0;1;Train
490;1;0;1;0;1;24607,8301;20000;0;0;36;3;0;1;Train
492;1;0;1;1;0;0;17199,8906;6016,8901;0;36;4;0;1;Train
493;0;0;1;0;1;40020;30000;0;0;47;5;0;1;Train
494;1;0;0;0;0;12480,2998;12480,2998;0;0;23;5;0;1;Train
495;1;0;0;1;0;0;4025;0;0;6;5;0;1;Train
499;1;0;0;0;0;8700;28700;20000;0;59;4;0;1;Train
500;0;1;0;0;0;11903,6699;26903,6699;0;0;95;5;0;1;Train
501;0;1;1;0;0;27494,0293;62497,0312;0;0;13;3;0;1;Train
502;1;0;0;0;0;12008,2803;21000;0;0;6;5;0;1;Train
503;1;1;1;0;0;8708,3496;20000;5000;0;11;5;0;1;Train
507;0;1;0;0;0;8061,96;9000;0;1;62;6;0;1;Train
509;0;1;0;0;0;3861,6399;20000;0;0;35;6;0;1;Train
511;0;1;0;0;0;6084,4902;7000;0;0;24;5;0;1;Train
513;0;0;0;0;0;8478,1504;8478,1504;0;0;8;6;0;1;Train
514;1;1;0;1;0;0;35000;0;0;0;3;1;1;Train
515;1;0;0;0;1;31273,5605;52273,5586;21000;0;16;2;0;1;Train
516;1;0;1;0;0;37410;60000;0;0;14;5;0;1;Train
517;1;0;0;1;0;0;20000;0;0;0;6;0;1;Train
518;0;0;0;0;0;7486,21;18000;0;0;78;5;0;1;Train
519;1;1;0;1;0;0;30000;0;0;57;5;0;1;Train
521;0;0;1;0;0;39150;56000;0;0;8;4;0;1;Train
522;0;1;1;0;0;4760,6099;28760,6094;9000;0;18;5;0;1;Train
524;0;1;1;0;0;43500;43500;0;1;14;3;0;1;Train
526;0;1;0;0;1;13572;48500;5000;0;9;5;0;1;Train
528;0;0;0;0;0;5647,4102;15000;0;0;122;5;0;1;Train
529;1;1;0;0;0;8365,7197;45000;11000;0;38;6;0;1;Train
530;1;0;1;0;0;26992,1699;2699217;0;0;14;6;0;1;Train
532;0;1;1;0;0;21750;35000;0;0;48;6;1;1;Train
533;1;1;1;0;0;11520,8398;80000;50000;0;46;6;1;1;Train
